date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:44:48	1480/1480	---MCZ	404	error ('Not%20Found')	text/html	etag:1694598657-ssl-df	https://tedxnuuz.netlify.app/robots.txt		(from )
23:44:48	508/508	---M--	200	added ('OK')	text/html	etag:%223a38602044cb6dfadd6d90f0c6b76b9c-ssl%22	https://tedxnuuz.netlify.app/	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/index.html	(from )
23:44:49	313791/313791	---MCZ	200	added ('OK')	text/html	etag:%221bc2c5001e90ea737823ce123c878e57-ssl-df%22	https://tedxnuuz.netlify.app/www/index.html	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/www/index.html	(from https://tedxnuuz.netlify.app/)
23:44:52	17368/17368	---MCZ	200	added ('OK')	text/plain	etag:%223bb5d99ed12933da203b5c7dc3b02309-ssl-df%22	https://tedxnuuz.netlify.app/use.typekit.net/ik/JA7SgAW9JFp7ui9T1OLM0o5OWuRdAJJr80FtxegqKDCfezC2fFHN4UJLFRbh52jhWDjDjDj3jQwUFhjtwAFRF2FRjAwXFh9kFg7bMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0jh8kjhU8OAskiAX	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/use.typekit.net/ik/JA7SgAW9JFp7ui9T1OLM0o5OWuRdAJJr80FtxegqKDCfezC2fFHN4UJLFRbh52jhWDjDjDj3jQwUFhjtwAFRF2FRjAwXFh9kFg7bMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDO	(from https://tedxnuuz.netlify.app/www/index.html)
23:44:52	42387/42387	---MCZ	200	added ('OK')	application/javascript	etag:%2238e164bc4c9abf9c006d3d02e298aaf0-ssl-df%22	https://tedxnuuz.netlify.app/assets.squarespace.com/%40sqs/polyfiller/1.6/legacy.js	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://tedxnuuz.netlify.app/www/index.html)
23:44:53	117609/117609	---MCZ	200	added ('OK')	application/javascript	etag:%22baa25e28ce24b12167c670733ab54af1-ssl-df%22	https://tedxnuuz.netlify.app/assets.squarespace.com/%40sqs/polyfiller/1.6/modern.js	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://tedxnuuz.netlify.app/www/index.html)
23:44:54	49831/49831	---MCZ	200	added ('OK')	application/javascript	etag:%22b70dd790e9bd9825553ddfb7810fc2ca-ssl-df%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-7b3fc6d82db83c3063ed7-min.en-US.js	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-7b3fc6d82db83c3063ed7-min.en-US.js	(from https://tedxnuuz.netlify.app/www/index.html)
23:44:55	1370874/1370874	---MCZ	200	added ('OK')	application/javascript	etag:%229e5261e79d6d7ce6ef53c887e282458d-ssl-df%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-c4550e9407a2eb121f53d-min.en-US.js	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-c4550e9407a2eb121f53d-min.en-US.js	(from https://tedxnuuz.netlify.app/www/index.html)
23:44:57	124578/124578	---MCZ	200	added ('OK')	application/javascript	etag:%22739618bef71e25c50cafb7f828220ea4-ssl-df%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-47d1221231df25bde9715-min.en-US.js	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-47d1221231df25bde9715-min.en-US.js	(from https://tedxnuuz.netlify.app/www/index.html)
23:44:58	245973/245973	---MCZ	200	added ('OK')	application/javascript	etag:%22231225ed60ad19aad3ea013e09738791-ssl-df%22	https://tedxnuuz.netlify.app/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-988cea152e72258d821b3-min.en-US.js	C:/Users/Asus/Desktop/TEDa/tedxnuuz.netlify.app/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-988cea152e72258d821b3-min.en-US.js	(from https://tedxnuuz.netlify.app/www/index.html)
